"cmd","addr","end","rendercmd","jp","en","en",,
"String","0xC072","0xC077","vwf standard","　妖神　零","[space16px]Rei Ayakami","Rei Ayakami","[space16px]Rei Ayakami",
"String","0xC077","0xC07D","vwf standard","　まるぺん直","[space16px]Marupennao","Marupennao","[space16px]Marupennao",
"String","0xC07D","0xC080","vwf standard","　絹毛ネズミ科","[space16px]Kinugenezumi-ka","Kinugenezumi-ka","[space16px]Kinugenezumi-ka",
"String","0xC080","0xC086","vwf standard","　西山大シミュ研","[space16px]Nishiyama-dai Sim-ken","Nishiyama-dai Sim-ken","[space16px]Nishiyama-dai Sim-ken",
"String","0xC086","0xC08A","vwf standard pad 128 center","　　　終り","The End","The End","[space16px]The End",
,,,,"//=================================================",,,,
,,,,"// Credits -- programmer easter egg version",,,,
,,,,"// (hold A + C + Down as credits begin; displays",,,,
,,,,"// programmer's real name instead of pseudonym)",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0x66B2","0x6722",,,,,,
"String","0xC08A","0xC08D","vwf standard pad 128 center","☆制作スタッフ☆","-- Production Staff --","* Production staff *",,
"String","0xC08D","0xC090","vwf standard","　倉谷遣一","[space16px]Kenichi Kuratani","Kenichi Kuratani",,
"String","0xC090","0xC093","vwf standard","　まお","[space16px]Mao","Mao",,
"String","0xC093","0xC096","vwf standard","　MUCHO","[space16px]MUCHO","MUCHO",,
"String","0xC096","0xC09C","vwf standard","　　＆Cｏｍｐ.","[space16px][space16px]&Comp.","&Comp.",,
"String","0xC09C","0xC09F","vwf standard","　むっちゃん","[space16px]Mucchan","Mucchan",,
"String","0xC09F","0xC0A3","vwf standard","　MRN","[space16px]MRN","MRN",,
"String","0xC0A3","0xC0A8","vwf standard","　やまざー","[space16px]Yamazaa","Yamazaa",,
"String","0xC0A8","0xC0AB","vwf standard","　釈尊","[space16px]Shakuson","Shakuson",,
"String","0xC0AB","0xC0B0","vwf standard","　羽田一夫","[space16px]Kazuo Haneda","Kazuo Haneda",,
"String","0xC0B0","0xC0B3","vwf standard","　松戸入太","[space16px]Mad Hatter","Mad Hatter",,
"String","0xC0B3","0xC0B8","vwf standard","　妖神　零","[space16px]Rei Ayakami","Rei Ayakami",,
"String","0xC0B8","0xC0BE","vwf standard","　まるぺん直","[space16px]Marupennao","Marupennao",,
"String","0xC0BE","0xC0C1","vwf standard","　絹毛ネズミ科","[space16px]Kinugenezumi-ka","Kinugenezumi-ka",,
"String","0xC0C1","0xC0C7","vwf standard","　西山大シミュ研","[space16px]Nishiyama-dai Sim-ken","Nishiyama-dai Sim-ken",,
"String","0xC0C7","0xC0CB","vwf standard pad 128 center","　　　終り","The End","The End",,
,,,,"//=================================================",,,,
,,,,"// Intro, part 1",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0x95E8","0x9657",,,,,,
"String","0x97DB","0x97DF","vwf standard","ここは幻想と魔法が支配する","Here lies a distant continent, dominated","Here lies Bahamut, the distant",,
"String","0x97DF","0x97E4","vwf standard pad 208","遥かなる大陸バハムート","by illusions and magic: Bahamut.","continent ruled by illusions and magic.",,
"String","0x97E4","0x97EB","vwf standard","人久はここに王国を築き上げ","Upon it, the people built a kingdom,","The people built a kingdom here",,
"String","0x97EB","0x97F3","vwf standard pad 208","平和な日久を過ごしていた。","and their days passed peacefully.","and spent their days peacefully.",,
"String","0x97F3","0x9800","vwf standard","大陸に邪悪と混沌とが蘇った","So it was until evil and chaos were revived,","That is, until evil and chaos were",,
"String","0x9800","0x9808","vwf standard pad 208","『闇の時代』が訪れるまで…","and the {Age of Darkness} came...","revived, and the “Age of Darkness” came...",,
,,,,"//=================================================",,,,
,,,,"// Intro, part 2",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0x9657","0x96C2",,,,,,
"String","0x9808","0x980A","vwf standard","王国の中心だった城塞都市は","From the walled city at the center","From the walled city at the center",,
"String","0x980A","0x980E","vwf standard pad 208","死のバルマー卿に支配され、","of the kingdom, ruled by Balmer the undead,","of the kingdom ruled by Balmer of Death,",,
"String","0x980E","0x9811","vwf standard","ガイラムが指揮する巨人族は","to the race of giants commanded by Gailum,","to the race of giants commanded by Gailum",,
"String","0x9811","0x9818","vwf standard pad 208","ドワーフどもを葬り去り、","exterminator of the dwarves,","who exterminate the dwarves,",,
"String","0x9818","0x9825","vwf standard","大ドラゴンのベルフレイムは","to the greater dragon Velfraim,","to the greater dragon Velfraim",,
"String","0x9825","0x982E","vwf standard pad 208","漆黒の天空を舞い、","who danced against the jet-black skies,","who danced among the jet black skies,",,
,,,,"//=================================================",,,,
,,,,"// Intro, part 3",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0x96C2","0x971F",,,,,,
"String","0x982E","0x9830","vwf standard","かつて葬られた伝説の大魔王","to the once-buried demon king exalted","to the once buried exalted demon king",,
"String","0x9830","0x9834","vwf standard pad 208","クリムトまでが復活した。","by legend, Klimt -- all were revived.","of legend, Klimt; all have been revived.",,
"String","0x9834","0x983F","vwf standard pad 208","さらに人間たちの中にも、","And among humans, too,","Furthermore, among the humans",,
"String","0x983F","0x9847","vwf standard","混沌の魔術帥シェルファが、","Shelpha, governess of chaos magics,","Shelpha, governor of chaos magic,",,
"String","0x9847","0x9851","vwf standard pad 208","最強の狂戦士バストラルが、","and Vastral, the almighty berserker,","and Vastral the strongest berserker",,
,,,,"//=================================================",,,,
,,,,"// Intro, part 4",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0x971F","0x978B",,,,,,
"String","0x9851","0x9853","vwf standard","大陸の覇者になろうと挙兵し","raised armies and marched forth","raised armies and began advancing",,
"String","0x9853","0x985B","vwf standard pad 208","軍勢の進撃を開始した。","toward supreme domination of the land.","to become the supreme rulers of the land.",,
"String","0x985B","0x9865","vwf standard","だが、混沌とした闇の時代に","However, that this chaotic Age of Darkness","However, to eradicate the",,
"String","0x9865","0x986D","vwf standard pad 208","邪悪を討ち滅ぼそうと、","might be overcome,","chaotic age of darkness,",,
"String","0x986D","0x9878","vwf standard","エルフの森でエル＝モアが、","Ell Moir, of the elven forest,","Ell Moir of the elves' forest,",,
"String","0x9878","0x9883","vwf standard pad 208","滅び去った王家でジークが、","and Sieg, of the fallen royal family,","and Sieg of the fallen royal",,
,,,,"//=================================================",,,,
,,,,"// Intro, part 5",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0x978B","0x97DB",,,,,,
"String","0x9883","0x9885","vwf standard","立ち向かい、再び平和な時を","rose up and fought to restore peace.","family stood up and fought",,
"String","0x9885","0x988C","vwf standard pad 208","呼び戻そうと戦うのであった"," ","to restore peaceful times,",,
"String","0x988C","0x9891","vwf standard pad 208","そして・・・","And so...","and so...",,
"String","0x9891","0x989B","vwf standard","バハムートを新たなる時代へ","Now begins the battle to guide Bahamut","The battle to guide Bahamut into",,
"String","0x989B","0x98A6","vwf standard pad 208","導く戦いが今、始まる。","into a new age.","a new age begins right now.",,
,,,,"//=================================================",,,,
,,,,"// Endings",,,,
,,,,"//=================================================",,,,
,,,,,,,,
,,,,"//=============================================",,,,
,,,,"// ending 0",,,,
,,,,"//=============================================",,,,
,,,,,,,,
"FontPack","0xB9D4","0xBA50",,,,,,
"String","0xBE0E","0xBE10","vwf narrow pad 128 center","　聖戦士ジーク＝","Thus, Sieg Pholia the","Thus, Sieg Pholia the",,
"String","0xBE10","0xBE15","vwf narrow pad 128 center","フォーリアは大陸","Holy Warrior annihilated","Holy Warrior annihilated",,
"String","0xBE15","0xBE19","vwf narrow pad 128 center","に蘇った混沌たる","the evil forces","the evil forces",,
"String","0xBE19","0xBE1B","vwf narrow pad 128 center","邪悪を討ち滅ぼし","spreading chaos to the","spreading chaos to the",,
"String","0xBE1B","0xBE20","vwf narrow pad 128 center","闇の時代は終わり","continent, bringing the","continent, bringing the",,
"String","0xBE20","0xBE25","vwf narrow pad 128 center","を告げた。","Age of Darkness to an","Age of Darkness to an",,
"String","0xBE25","0xBE2C","vwf narrow pad 128 center","　そして崩壊した","end.","end.",,
"String","0xBE2C","0xBE31","vwf narrow pad 128 center","王国を復興させ、","Finally, he could focus","Finally he could focus",,
"String","0xBE31","0xBE39","vwf narrow pad 128 center","新たなる時代の王","on rebuilding his","on rebuilding his",,
"String","0xBE39","0xBE3E","vwf narrow pad 128 center","として再び秩序あ","kingdom. Once again,","kingdom. Once again,",,
"String","0xBE3E","0xBE46","vwf narrow pad 128 center","る平和な時代を築","Bahamut would enter an","Bahamut would enter an",,
"String","0xBE46","0xBE4D","vwf narrow pad 128 center","いたのである。","era of law and order.","era of law and order.",,
,,,,"//=============================================",,,,
,,,,"// ending 1",,,,
,,,,"//=============================================",,,,
,,,,,,,,
"FontPack","0xBA50","0xBAD0",,,,,,
"String","0xBE4E","0xBE50","vwf narrow pad 128 center","　闇の時代に自ら","Taking advantage of","Taking advantage of",,
"String","0xBE50","0xBE53","vwf narrow pad 128 center","の力で帝国を築き","the Age of Darkness,","the Age of Darkness,",,
"String","0xBE53","0xBE55","vwf narrow pad 128 center","上げた狂戦士バス","Vastral Bindout the","Vastral Bindout the",,
"String","0xBE55","0xBE5A","vwf narrow pad 128 center","トラル＝バインド","Berserker established","Berserker established",,
"String","0xBE5A","0xBE60","vwf narrow pad 128 center","アウトは、大陸を","his own empire. After","his own empire. After",,
"String","0xBE60","0xBE66","vwf narrow pad 128 center","平定後、ディーン","subjugating Bahamut,","subjugating Bahamut,",,
"String","0xBE66","0xBE69","vwf narrow pad 128 center","を始めとする魔術","he had all wizards in","he had all wizards in",,
"String","0xBE69","0xBE6E","vwf narrow pad 128 center","士達を討ち滅ぼし","the continent killed,","the continent killed,",,
"String","0xBE6E","0xBE70","vwf narrow pad 128 center","た。","starting with Dean.","starting with Dean.",,
"String","0xBE70","0xBE78","vwf narrow pad 128 center","　そして力が時代","It was the beginning","It was the beginning",,
"String","0xBE78","0xBE80","vwf narrow pad 128 center","を支配する時が訪","of an era where only","of an era where only",,
"String","0xBE80","0xBE87","vwf narrow pad 128 center","れたのである。","the strong would survive.","the strong would survive.",,
,,,,"//=============================================",,,,
,,,,"// ending 2",,,,
,,,,"//=============================================",,,,
,,,,,,,,
"FontPack","0xBAD0","0xBB44",,,,,,
"String","0xBE88","0xBE8A","vwf narrow pad 128 center","　大魔術帥シェル","Thus, Shelpha Freja the","Thus, Shelpha Freja the",,
"String","0xBE8A","0xBE8F","vwf narrow pad 128 center","ファ＝フレイアは","Great Sorceress","Great Sorceress",,
"String","0xBE8F","0xBE94","vwf narrow pad 128 center","遂に大陸の覇者と","conquered Bahamut,","conquered Bahamut,",,
"String","0xBE94","0xBE99","vwf narrow pad 128 center","なり、女帝として","forcing its inhabitants","forcing its inhabitants",,
"String","0xBE99","0xBE9B","vwf narrow pad 128 center","人久をひざまづか","to kneel before their","to kneel before their",,
"String","0xBE9B","0xBE9D","vwf narrow pad 128 center","せた。","new empress. As long as","new empress. As long as",,
"String","0xBE9D","0xBEA5","vwf narrow pad 128 center","　彼女は永遠の命","she lives, the Age of","she lives, the Age of",,
"String","0xBEA5","0xBEAD","vwf narrow pad 128 center","を堪能し、己の意","Darkness will not end.","Darkness will not end.",,
"String","0xBEAD","0xBEB5","vwf narrow pad 128 center","のままに生き、闇","Alas, Shelpha's mastery","Alas, Shelpha's mastering",,
"String","0xBEB5","0xBEBB","vwf narrow pad 128 center","の時代が果てるこ","of the dark arts has","of the dark arts has",,
"String","0xBEBB","0xBEC2","vwf narrow pad 128 center","とはなかった。","given her eternal life...","given her eternal life...",,
,,,,"//=============================================",,,,
,,,,"// ending 3",,,,
,,,,"//=============================================",,,,
,,,,,,,,
"FontPack","0xBB44","0xBBBE",,,,,,
"String","0xBEC3","0xBEC5","vwf narrow pad 128 center","　闇の時代にエル","Ell Moir and Ell Wynn, the","Ell Moir and Ell Wynn, the",,
"String","0xBEC5","0xBECD","vwf narrow pad 128 center","フの兄妹エル＝モ","elven siblings, led their","elven siblings, led their",,
"String","0xBECD","0xBED4","vwf narrow pad 128 center","アとエル＝ウィン","army to victory against the","army to victory against the",,
"String","0xBED4","0xBED9","vwf narrow pad 128 center","は森の軍勢を率い","forces of evil, bringing","forces of evil, bringing",,
"String","0xBED9","0xBEDE","vwf narrow pad 128 center","て邪悪を掃討し、","peace back to Bahamut.","peace back to Bahamut.",,
"String","0xBEDE","0xBEE6","vwf narrow pad 128 center","大陸を平和に導く","The Age of Darkness had ended.","The Age of Darkness had ended.",,
"String","0xBEE6","0xBEED","vwf narrow pad 128 center","事に成功した。","The elves would later","The elves would later",,
"String","0xBEED","0xBEF4","vwf narrow pad 128 center","　やがてエルフを","establish a republic that","establish a republic that",,
"String","0xBEF4","0xBEF9","vwf narrow pad 128 center","中心とする秩序あ","would become the core of","would become the core of",,
"String","0xBEF9","0xBF00","vwf narrow pad 128 center","る共和制が取られ","the continent.","the continent:",,
"String","0xBF00","0xBF08","vwf narrow pad 128 center","新たな時代が始ま","So began a","it was the beginning of a",,
"String","0xBF08","0xBF0E","vwf narrow pad 128 center","るのである。","new era of order.","new era of order.",,
,,,,"//=============================================",,,,
,,,,"// ending 4",,,,
,,,,"//=============================================",,,,
,,,,,,,,
"FontPack","0xBBBE","0xBC33",,,,,,
"String","0xBF0F","0xBF11","vwf narrow pad 128 center","　大陸を制覇した","Having conquered the","Having conquered the",,
"String","0xBF11","0xBF13","vwf narrow pad 128 center","ガイラム＝グリン","continent, Gailum","continent, Gailum",,
"String","0xBF13","0xBF17","vwf narrow pad 128 center","ダム公は満足であ","Grindam was finally","Grindam was finally",,
"String","0xBF17","0xBF1A","vwf narrow pad 128 center","った。","satisfied. After the","satisfied. After the",,
"String","0xBF1A","0xBF1D","vwf narrow pad 128 center","　ドワーフに続い","Dwarves, he proceeded","Dwarves, he proceeded",,
"String","0xBF1D","0xBF23","vwf narrow pad 128 center","て、エルフ、人間","to annihilate the","to annihilate the",,
"String","0xBF23","0xBF2B","vwf narrow pad 128 center","どもを滅ぼし、巨","Elves and the Humans.","Elves and the Humans.",,
"String","0xBF2B","0xBF2F","vwf narrow pad 128 center","人族だけの世界を","The Giants now reigned","The Giants now reigned",,
"String","0xBF2F","0xBF35","vwf narrow pad 128 center","確立させ、バハム","over Bahamut, with","over Bahamut, with",,
"String","0xBF35","0xBF3D","vwf narrow pad 128 center","ートの王として君","Gailum as their","Gailum as their",,
"String","0xBF3D","0xBF45","vwf narrow pad 128 center","臨したのである。","undisputed king.","undisputed king.",,
,,,,"//=============================================",,,,
,,,,"// ending 5",,,,
,,,,"//=============================================",,,,
,,,,,,,,
"FontPack","0xBC33","0xBCAA",,,,,,
"String","0xBF46","0xBF48","vwf narrow pad 128 center","　天空を舞う強大","Velfraim, the greatest","Velfraim, the greatest",,
"String","0xBF48","0xBF4A","vwf narrow pad 128 center","な赤きドラゴン、","vermilion dragon to ever","vermilion dragon to ever",,
"String","0xBF4A","0xBF4C","vwf narrow pad 128 center","ベルフレイムには","soar the skies, proved","soar the skies, proved",,
"String","0xBF4C","0xBF54","vwf narrow pad 128 center","もう敵はいない。","to be without peer.","to be without peer.",,
"String","0xBF54","0xBF58","vwf narrow pad 128 center","　ベルフレイムは","The Queen of Dragons now","The Queen of Dragons now",,
"String","0xBF58","0xBF5F","vwf narrow pad 128 center","人間達にいけにえ","ruled over Bahamut.","ruled over Bahamut.",,
"String","0xBF5F","0xBF65","vwf narrow pad 128 center","を捧げさせ、邪悪","Feared by all, it is","Feared by all, it is",,
"String","0xBF65","0xBF6A","vwf narrow pad 128 center","なドラゴンとして","said that only human","said that only human",,
"String","0xBF6A","0xBF71","vwf narrow pad 128 center","君臨し恐れられ、","sacrifice appeases her.","sacrifice appeases her.",,
"String","0xBF71","0xBF73","vwf narrow pad 128 center","混沌たる闇の時代","The chaotic Age of","The chaotic Age of",,
"String","0xBF73","0xBF7A","vwf narrow pad 128 center","が終わることはな","Darkness is seemingly","Darkness is seemingly",,
"String","0xBF7A","0xBF82","vwf narrow pad 128 center","かったのである。","unending.","unending.",,
,,,,"//=============================================",,,,
,,,,"// ending 6",,,,
,,,,"//=============================================",,,,
,,,,,,,,
"FontPack","0xBCAA","0xBD15",,,,,,
"String","0xBF83","0xBF85","vwf narrow pad 128 center","　かつて英雄バル","Klimt, the Devil King,","Klimt, the Devil King,",,
"String","0xBF85","0xBF89","vwf narrow pad 128 center","マー卿によって葬","had once conquered","had once conquered",,
"String","0xBF89","0xBF8B","vwf narrow pad 128 center","られた大魔王クリ","Bahamut, before being","Bahamut, before being",,
"String","0xBF8B","0xBF8F","vwf narrow pad 128 center","ムトは、再び大陸","defeated by the heroic","defeated by the heroic",,
"String","0xBF8F","0xBF92","vwf narrow pad 128 center","の覇権を我が手に","Sir Balmer; he has now","Sir Balmer; he has now",,
"String","0xBF92","0xBF99","vwf narrow pad 128 center","掌握し、混沌たる","reclaimed what was","reclaimed what was",,
"String","0xBF99","0xBFA0","vwf narrow pad 128 center","闇の時代を存続さ","already his.","already his.",,
"String","0xBFA0","0xBFA3","vwf narrow pad 128 center","せた。","The chaotic Age of","The chaotic Age of",,
"String","0xBFA3","0xBFAB","vwf narrow pad 128 center","　そして、バハム","Darkness will never end.","Darkness will never end.",,
"String","0xBFAB","0xBFB3","vwf narrow pad 128 center","ートの復活を夢見","Restoring Bahamut was","Restoring Bahamut was",,
"String","0xBFB3","0xBFBA","vwf narrow pad 128 center","るのであった。","never more than a dream.","never more than a dream.",,
,,,,"//=============================================",,,,
,,,,"// ending 7",,,,
,,,,"//=============================================",,,,
,,,,,,,,
"FontPack","0xBD15","0xBD8C",,,,,,
"String","0xBFBB","0xBFBD","vwf narrow pad 128 center","　かつて大魔王ク","Sir Balmer, the great","Sir Balmer, the great",,
"String","0xBFBD","0xBFBF","vwf narrow pad 128 center","リムトを葬ったバ","warrior who defeated the","warrior who defeated the",,
"String","0xBFBF","0xBFC1","vwf narrow pad 128 center","ルマー卿は、皮肉","Devil King Klimt, had","Devil King Klimt, had",,
"String","0xBFC1","0xBFC5","vwf narrow pad 128 center","にも闇の時代の力","been brought back as an","been brought back as an",,
"String","0xBFC5","0xBFC7","vwf narrow pad 128 center","で邪悪なアンデッ","evil undead creature.","evil Undead creature.",,
"String","0xBFC7","0xBFCE","vwf narrow pad 128 center","ドとして蘇り、つ","He has now annihilated","He has now annihilated",,
"String","0xBFCE","0xBFD6","vwf narrow pad 128 center","いには大陸に生き","all life on the continent.","all life on the continent.",,
"String","0xBFD6","0xBFDE","vwf narrow pad 128 center","ている者を葬り去","In a sick twist of fate,","In a sick twist of fate,",,
"String","0xBFDE","0xBFE6","vwf narrow pad 128 center","り、バハムートの","the hero who once saved","the hero who once saved",,
"String","0xBFE6","0xBFEE","vwf narrow pad 128 center","歴史は彼によって","Bahamut had brought its","Bahamut had brought its",,
"String","0xBFEE","0xBFF4","vwf narrow pad 128 center","闇に閉ざされた。","history to an end.","history to an end.",,
,,,,"//=============================================",,,,
,,,,"// ending 8",,,,
,,,,"//=============================================",,,,
,,,,,,,,
"FontPack","0xBD8C","0xBE0D",,,,,,
"String","0xBFF5","0xBFF7","vwf standard pad 128 center","　その後、何が語","What words passed","It is unknown what",,
"String","0xBFF7","0xBFF9","vwf standard pad 128 center","られたかは誰も知","between the two,","the two of them",,
"String","0xBFF9","0xBFFC","vwf standard pad 128 center","らない。","none know.","had discussed.",,
"String","0xBFFC","0xBFFD","vwf standard pad 128 center","　"," ",,,
"String","0xBFFD","0xC004","vwf standard pad 128 center","　やがて、バハム","In short measure, the","Before long, the army",,
"String","0xC004","0xC007","vwf standard pad 128 center","ートを葬るべく、","army of the Gods came","of the Gods came from",,
"String","0xC007","0xC00C","vwf standard pad 128 center","孤空の彼方より神","from beyond the solitary","beyond the solitary",,
"String","0xC00C","0xC015","vwf standard pad 128 center","久の軍団が現れた。","skies in order to","skies, in order to",,
"String","0xC015","0xC01D","vwf standard pad 128 center","　そして、その前","kill Bahamut once and","kill Bahamut once and",,
"String","0xC01D","0xC024","vwf standard pad 128 center","に蒼き鎧をまとい、","for all.","for all.",,
"String","0xC024","0xC02C","vwf standard pad 128 center","黄金の龍に跨った","Standing in their way","Standing in their way",,
"String","0xC02C","0xC033","vwf standard pad 128 center","ジークがただ一人","was Sieg, clad in","was Sieg, donning an",,
"String","0xC033","0xC03B","vwf standard pad 128 center","立ちはだかったと","azure armor, riding","azure armor, riding",,
"String","0xC03B","0xC03E","vwf standard pad 128 center","いう。","upon the Golden Dragon.","the Golden Dragon.",,
"String","0xC03E","0xC03F","vwf standard pad 128 center","　"," ",,,
"String","0xC03F","0xC040","vwf standard pad 128 center","　"," ",,,
"String","0xC040","0xC041","vwf standard pad 128 center","　"," ",,,
"String","0xC041","0xC042","vwf standard pad 128 center","　"," ",,,
"String","0xC042","0xC043","vwf standard pad 128 center","　"," ",,,
"String","0xC043","0xC044","vwf standard pad 128 center","　"," ",,,
"String","0xC044","0xC045","vwf standard pad 128 center","　"," ",,,
"String","0xC045","0xC046","vwf standard pad 128 center","　"," ",,,
"String","0xC046","0xC049","vwf standard pad 128 center","　　　　完","END","        END",,
,,,,"//=================================================",,,,
,,,,"// Start of ending sequence",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0xC184","0xC19C",,,,,,
"String","0xC19C","0xC1A1","vwf standard","ついに大陸の覇者になった","You have conquered the continent.","You have conquered the continent.",,
,,,,"//=================================================",,,,
,,,,"// Game over screen",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0xC891","0xC90B",,,,,,
"String","0xC90B","0xC90D","vwf standard pad 288 center","そして大陸を制覇する事はなかった。","Your conquest has failed.","Your conquest has failed.",,
"String","0xC90D","0xC914","vwf standard pad 288 center","聖戦士ジークは倒された…","Sieg, the Holy Warrior, has been defeated...","Sieg, the Holy Warrior, has been defeated...",,
"String","0xC914","0xC91E","vwf standard pad 288 center","狂戦士バストラルは倒された…","Vastral, the Berserker, has been defeated...","Vastral, the Berserker, has been defeated...",,
"String","0xC91E","0xC929","vwf standard pad 288 center","大魔術帥シェルファは倒された…","Shelpha, the Great Sorceress, has been defeated...","Shelpha, the Great Sorceress, has been defeated...",,
"String","0xC929","0xC936","vwf standard pad 288 center","エルフ、エル＝モアは倒された…","Ell Moir and the Elves have been defeated...","Ell Moir and the Elves have been defeated...",,
"String","0xC936","0xC93F","vwf standard pad 288 center","巨人ガイラムは倒された…","Gailum, the Giant, has been defeated...","Gailum, the Giant, has been defeated...",,
"String","0xC93F","0xC94B","vwf standard pad 288 center","赤龍ベルフレイムは倒された…","Velfraim, the Red Dragon, has been defeated...","Velfraim, the Red Dragon, has been defeated...",,
"String","0xC94B","0xC957","vwf standard pad 288 center","大魔王クリムトは倒された…","Klimt, the Devil King, has been defeated...","Klimt, the Devil King, has been defeated...",,
"String","0xC957","0xC963","vwf standard pad 288 center","死のバルマー卿は倒された…","Sir Balmer, the Undead, has been defeated...","Sir Balmer, the Undead, has been defeated...",,
"String","0xC963","0xC971","vwf standard pad 288 center","エルフ、エル＝ウィンは倒された…","Ell Wynn and the Elves have been defeated...","Ell Wynn and the Elves have been defeated...",,
,,,,"//=================================================",,,,
,,,,"// direct calls to 0x1944 with a hardcoded value",,,,
,,,,"//=================================================",,,,
,,,,,,,,
,,,,"//=================================================",,,,
,,,,"// ?",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0xDC61","0xDC78",,,,,,
"String","0xDC78","0xDC7D","vwf standard","あと３ターンで終了です！","3 Turns until the end!","3 Turns until the end!",,
"String","0xDC7D","0xDC83","vwf standard","最終ターンです！","Final Turn!","Final Turn!",,
,,,,"//=================================================",,,,
,,,,"// ?",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"FontPack","0xE688","0xE699",,,,,,
