"cmd","addr","end","rendercmd","jp","en",,,
"String","0xC11E","0xC12A","default","DATA ADJUST","DATA ADJUST","DATA ADJUST",,"DATA ADJUST"
"String","0xC12B","0xC132","default","MANUAL","MANUAL","MANUAL",,"MANUAL"
"String","0xC133","0xC13B","default","PACKAGE","PACKAGE","PACKAGE",,"PACKAGE"
"String","0xC13B","0xC13C","default",,,,,
"String","0xC13C","0xC14B","default","SPECIAL THANKS","SPECIAL THANKS","SPECIAL THANKS",,"SPECIAL THANKS"
,,,,"//=================================================",,,,
,,,,"// ?",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"String","0xD8AA","0xD8AE","default","ターン"," TRN","Turn",,"Turn"
"String","0xD8AE","0xD8B1","default","/M","/M","/M",,"/M"
,,,,"//=================================================",,,,
,,,,"// raymond messages",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"String","0xEFCF","0xEFF1","default","よろしいでしょうか? (いいならAかCボタン、だめならBボタン)。"," DO YOU AGREE? (YES = A OR C BUTTON, NO = B BUTTON)","Do you agree? (Yes = A or C Button; No = B Button)",,"Do you agree? (Yes = A or C Button, No = B Button)"
"String","0xEFF1","0xF00B","default","ふたたび、ぐんしとして、はたらきたいとおもいます。"," I WISH TO RESUME MY ROLE AS ADVISOR.","I wish to resume my role as advisor.",,"I wish to resume my role as advisor."
"String","0xF00B","0xF025","default","バルマーをたおしに、ひとりでたびにでたいのですが、","I WISH TO JOURNEY ALONE TO TAKE DOWN BALMER.","I wish to journey alone to take down Balmer.",,"I wish to journey alone to take down Balmer."
"String","0xF025","0xF039","default","みごとバルマーをたおしてまいりました。","I HAVE SUCCESSFULLY DEFEATED BALMER.","I have successfully defeated Balmer.",,"I have successfully defeated Balmer."
"String","0xF039","0xF056","default","ざんねんなことに、バルマーはすでに、たおされていました。","ALAS, BALMER HAS ALREADY BEEN DEFEATED...","Alas, Balmer has already been defeated...",,"Alas, Balmer has already been defeated..."
"String","0xF056","0xF074","default","わたしも、えいゆうとして、ぜんせんでたたかいたいのですが、","I WISH TO JOIN YOUR RANKS AS A HERO AND FIGHT IN THE FRONT LINES.","I wish to join your ranks as a Hero and fight in the front lines.",,"I wish to join your ranks as a Hero and fight in the front lines."
"String","0xF074","0xF0F5","default","わたしはもうだめだ、ジークよ。よいか、バハムートをめざめさせてはならん。おおいなるじゃきは、やつのハラをみたしてしまう。さいあくのときは、やつのしんぞうを、このけんベサルスネーガでつらぬけ。さいごに、わしのいのちをおまえにたくす。ジーク=フォーリア・・・・","SIEG... MY LIFE IS COMING TO AN END. LISTEN TO ME: BAHAMUT MUST NOT BE AWAKENED. IT FEEDS ON NEGATIVE EMOTIONS. SHOULD THE WORST COME TO PASS, YOU MUST PIERCE ITS HEART WITH BETHARUSNEGA. MY LIFE IS NOW YOURS, SIEG PHOLIA...","Sieg... My life is coming to an end. Listen to me: Bahamut must not be awakened. It feeds on negative emotions. In the worst case scenario, you must pierce its heart with Betharusnega. My life is now yours, Sieg Pholia...",,"Sieg... My life is coming to an end. Listen to me: Bahamut must not be awakened. It feeds on negative emotions. Should the worst come to pass, you must pierce its heart with Betharusnega. My life is now yours, Sieg Pholia..."
,,,,"//=================================================",,,,
,,,,"// ?",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"String","0x103EA","0x103EE","default","ターン"," TRN","Turn","count of turns on alliance action menu","Turn"
"String","0x103EE","0x103F3","default","MAX=","MAX=","MAX=",,"MAX="
"String","0x103F3","0x103F6","default","[LP])","[LP])","[LP])",,"[LP])"
,,,,"//=================================================",,,,
,,,,"// Title screen",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"String","0xB2F1","0xB2FA","default","NEW GAME","NEW GAME","NEW GAME",,"NEW GAME"
"String","0xB2FA","0xB303","default","CONTINUE","CONTINUE","CONTINUE",,"CONTINUE"
"String","0xB303","0xB30B","default","OPTIONS","OPTIONS","OPTIONS",,"OPTIONS"
"String","0xB30C","0xB317","default","CONTROLLER","CONTROLLER","CONTROLLER",,"CONTROLLER"
"String","0xB317","0xB31F","default","TACTICS","TACTICS","TACTICS",,"TACTICS"
"String","0xB31F","0xB326","default","BATTLE","BATTLE","BATTLE",,"BATTLE"
"String","0xB326","0xB32C","default","MUSIC","MUSIC","MUSIC",,"MUSIC"
"String","0xB32C","0xB332","default","SOUND","SOUND","SOUND",,"SOUND"
"String","0xB333","0xB343","default","1 CONTROL PAD  ","1 CONTROL PAD","1 CONTROL PAD",,"1 CONTROL PAD"
"String","0xB343","0xB352","default","2 CONTROL PADS","2 CONTROL PADS","2 CONTROL PADS",,"2 CONTROL PADS"
"String","0xB353","0xB35A","default","BGM00:","BGM00:","BGM00:",,"BGM00:"
"String","0xB35B","0xB364","default","SOUND 00","SOUND 00","SOUND 00",,"SOUND 00"
,,,,"//=================================================",,,,
,,,,"// Sound test track names",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"String","0xB396","0xB3AC","default","RESURRECTION OF CHAOS","RESURRECTION OF CHAOS","RESURRECTION OF CHAOS",,"RESURRECTION OF CHAOS"
"String","0xB3AC","0xB3B4","default","BAHAMUT","BAHAMUT","BAHAMUT",,"BAHAMUT"
"String","0xB3B4","0xB3BC","default","MUSAFIR","MUSAFIR","MUSAFIR",,"MUSAFIR"
"String","0xB3BC","0xB3C6","default","SPECTATER","SPECTATER","SPECTATER",,"SPECTATER"
"String","0xB3C6","0xB3D3","default","HOLY DESTINY","HOLY DESTINY","HOLY DESTINY",,"HOLY DESTINY"
"String","0xB3D3","0xB3E5","default","KING OF BERSERKER","KING OF BERSERKER","KING OF BERSERKER",,"KING OF BERSERKER"
"String","0xB3E5","0xB3EF","default","SORCERESS","SORCERESS","SORCERESS",,"SORCERESS"
"String","0xB3EF","0xB3F8","default","ELF LAND","ELF LAND","ELF LAND",,"ELF LAND"
"String","0xB3F8","0xB406","default","DUM DUM DUM !","DUM DUM DUM !","DUM DUM DUM !",,"DUM DUM DUM !"
"String","0xB406","0xB418","default","AN ANCIENT DRAGON","AN ANCIENT DRAGON","AN ANCIENT DRAGON",,"AN ANCIENT DRAGON"
"String","0xB418","0xB428","default","DEATH MESSENGER","DEATH MESSENGER","DEATH MESSENGER",,"DEATH MESSENGER"
"String","0xB428","0xB433","default","FROM HADES","FROM HADES","FROM HADES",,"FROM HADES"
"String","0xB433","0xB43D","default","INTRUDERS","INTRUDERS","INTRUDERS",,"INTRUDERS"
"String","0xB43D","0xB446","default","DIE HARD","DIE HARD","DIE HARD",,"DIE HARD"
"String","0xB446","0xB452","default","BAD FIGHTER","BAD FIGHTER","BAD FIGHTER",,"BAD FIGHTER"
"String","0xB452","0xB45B","default","MUSTAPHA","MUSTAPHA","MUSTAPHA",,"MUSTAPHA"
"String","0xB45B","0xB467","default","ELVES MARCH","ELVES MARCH","ELVES MARCH",,"ELVES MARCH"
"String","0xB467","0xB475","default","BRUTAL GIANTS","BRUTAL GIANTS","BRUTAL GIANTS",,"BRUTAL GIANTS"
"String","0xB475","0xB487","default","MURDER IN THE SKY","MURDER IN THE SKY","MURDER IN THE SKY",,"MURDER IN THE SKY"
"String","0xB487","0xB495","default","CRACK OF DOOM","CRACK OF DOOM","CRACK OF DOOM",,"CRACK OF DOOM"
"String","0xB495","0xB49E","default","DARKNESS","DARKNESS","DARKNESS",,"DARKNESS"
"String","0xB49E","0xB4A9","default","BEAT'EM UP","BEAT'EM UP","BEAT'EM UP",,"BEAT'EM UP"
"String","0xB4A9","0xB4B3","default","GOOD DAYS","GOOD DAYS","GOOD DAYS",,"GOOD DAYS"
"String","0xB4B3","0xB4C7","default","AN OMINOUS DAY(666)","AN OMINOUS DAY(666)","AN OMINOUS DAY(666)",,"AN OMINOUS DAY(666)"
"String","0xB4C7","0xB4CE","default","REGRET","REGRET","REGRET",,"REGRET"
,,,,"//=================================================",,,,
,,,,"// Header for hero info screen",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"String","0x14A6E","0x14A86","default","なまえ    [LP]  エリア  パワー  まほう"," NAME  [LP] AREA   PWR MAG","Name [LP] Area Power Magic",,"Name [LP] Area Power Magic"
"String","0x14A86","0x14A89","default","なし","NONE","None",,"None"
,,,,"//=================================================",,,,
,,,,"// Spell types",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"String","0x1E9D8","0x1E9E1","default","ALL HEAL","ALL HEAL","ALL HEAL",,"ALL HEAL"
"String","0x1E9E0","0x1E9E9","default","MAGIC UP","MAGIC UP","MAGIC UP",,"MAGIC UP"
"String","0x1E9E8","0x1E9F1","default","REGENERT","REGENERT","REGENERT",,"REGENERT"
"String","0x1E9F0","0x1E9F9","default","RES FIRE","RES FIRE","RES FIRE",,"RES FIRE"
"String","0x1E9F8","0x1EA01","default","FLY     ","FLY","FLY",,"FLY"
"String","0x1EA00","0x1EA09","default","HEAL    ","HEAL","HEAL",,"HEAL"
"String","0x1EA08","0x1EA11","default","BLESS   ","BLESS","BLESS",,"BLESS"
"String","0x1EA10","0x1EA19","default","SKILL UP","SKILL UP","SKILL UP",,"SKILL UP"
"String","0x1EA18","0x1EA21","default","ARMOR UP","ARMOR UP","ARMOR UP",,"ARMOR UP"
"String","0x1EA20","0x1EA29","default","POWER UP","POWER UP","POWER UP",,"POWER UP"
,,,,"//=================================================",,,,
,,,,"// Conjoining text for requests from other rulers.",,,,
,,,,"// Format: ""[name] ga [##] turn no [request text]""
,,,""//=================================================",,,,
,,,,,,,,
"String","0x1082E","0x10830","default","が"," ","is",,"is"
"String","0x10830","0x10835","default","ターンの","FOR   TURNS.",", for [number] turns,",,", for        turns,"
"String","0x10831","0x10835","default",,"FOR   TURN.",,,
"String","0x10832","0x10835","default",," TO   TURNS.",,,", for        turns,"
"String","0x10833","0x10835","default",," TO   TURN.",,,
,,,,"//=================================================",,,,
,,,,"// Ruler names",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"String","0x27000","0x27004","smallname","ジーク","Sieg","Sieg",,"Sieg"
"String","0x2700A","0x27010","smallname","バストラル","Vastral","Vastral",,"Vastral"
"String","0x27014","0x2701A","smallname","シェルファ","Shelpha","Shelpha",,"Shelpha"
"String","0x2701E","0x27024","smallname","エル=モア","Ell Moir","Ell Moir",,"Ell Moir"
"String","0x27028","0x2702D","smallname","ガイラム","Gailum","Gailum",,"Gailum"
"String","0x27032","0x27039","smallname","ベルフレイム","Velfraim","Velfraim",,"Velfraim"
"String","0x2703C","0x27041","smallname","クリムト","Klimt","Klimt",,"Klimt"
"String","0x27046","0x2704B","smallname","バルマー","Balmer","Balmer",,"Balmer"
"String","0x27050","0x27057","smallname","エル=ウィン","Ell Wynn","Ell Wyn",,"Ell Wyn"
,,,,"//=================================================",,,,
,,,,"// NEW: Ruler names in normal font, for advisor messages",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"String","0x27001","0x27004","default","ジーク","SIEG","Sieg","0x27002","Sieg"
"String","0x2700B","0x27010","default","バストラル","VASTRAL","Vastral","0x2700C","Vastral"
"String","0x27015","0x2701A","default","シェルファ","SHELPHA","Shelpha","0x27016","Shelpha"
"String","0x2701F","0x27024","default","エル=モア","ELL MOIR","Ell Moir","0x27020","Ell Moir"
"String","0x27029","0x2702D","default","ガイラム","GAILUM","Gailum","0x2702A","Gailum"
"String","0x27033","0x27039","default","ベルフレイム","VELFRAIM","Velfraim","0x27034","Velfraim"
"String","0x2703D","0x27041","default","クリムト","KLIMT","Klimt","0x2703E","Klimt"
"String","0x27047","0x2704B","default","バルマー","BALMER","Balmer","0x27048","Balmer"
"String","0x27051","0x27057","default","エル=ウィン","ELL WYNN","Ell Wyn","0x27052","Ell Wyn"
,,,,"//=================================================",,,,
,,,,"// NEW: Hero names on one line, for advisor messages",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"String","0x3E061","0x3E067","default","レンヘーゲン","RENHAGEN","Renhagen","0x3E062",
"String","0x3E071","0x3E076","default","バレンチン","VALENTIN","Valentin","0x3E072",
"String","0x3E081","0x3E087","default","ファラウィン","FALAWYN","Falawyn","0x3E082",
"String","0x3E091","0x3E097","default","シュタイナー","STEINER","Steiner","0x3E092",
"String","0x3E0A1","0x3E0A6","default","アリーシャ","ALISHA","Alisha","0x3E0A2",
"String","0x3E0B1","0x3E0B5","default","ガジール","GAZIEL","Gaziel","0x3E0B2",
"String","0x3E0C1","0x3E0C7","default","インディーナ","INDINA","Indina","0x3E0C2",
"String","0x3E0D1","0x3E0D6","default","イスタリス","ISTALICE","Istalice","0x3E0D2",
"String","0x3E0E1","0x3E0E6","default","ライザール","RYZAL","Ryzal","0x3E0E2",
"String","0x3E0F1","0x3E0F5","default","カターユ","CATALLE","Catalle","0x3E0F2",
"String","0x3E101","0x3E105","default","イクスド","EXUD","Exud","0x3E102",
"String","0x3E111","0x3E116","default","アルディス","ARDYTH","Ardyth","0x3E112",
"String","0x3E121","0x3E125","default","タケチヨ","TAKECHIYO","Takechiyo","0x3E122",
"String","0x3E131","0x3E135","default","ヤマザー","LLAMASAR","Llamasar","0x3E132",
"String","0x3E141","0x3E146","default","ボボタック","VOVOTAK","Vovotak","0x3E142",
"String","0x3E151","0x3E156","default","ファンブル","PHAMBLE","Phamble","0x3E152",
"String","0x3E161","0x3E166","default","アラムート","ALAMUT","Alamut","0x3E162",
"String","0x3E171","0x3E177","default","エルテメイト","ELTEMATE","Eltemate","0x3E172",
"String","0x3E181","0x3E185","default","モヘップ","MOHEP","Mohep","0x3E182",
"String","0x3E191","0x3E194","default","レント","LENT","Lent","0x3E192",
"String","0x3E1A1","0x3E1A5","default","ニードル","NEIDLE","Neidle","0x3E1A2",
"String","0x3E1B1","0x3E1B6","default","ハナリリム","HANNALILIM","Hannalilim","0x3E1B2",
"String","0x3E1C1","0x3E1C4","default","チスケ","CHISUKE","Chisuke","0x3E1C2",
"String","0x3E1D1","0x3E1D5","default","イギナベ","IGINABE","Iginabe","0x3E1D2",
"String","0x3E1E1","0x3E1E7","default","ムーミンクラ","MOOMINCLA","Moumincla","0x3E1E2",
"String","0x3E1F1","0x3E1F5","default","ダイアナ","DIANA","Diana","0x3E1F2",
"String","0x3E201","0x3E206","default","イースリー","EATHLEY","Eathley","0x3E202",
"String","0x3E211","0x3E217","default","ハインリッヒ","HEINRICH","Heinrich","0x3E212",
"String","0x3E221","0x3E225","default","リューク","LUKE","Luke","0x3E222",
"String","0x3E231","0x3E236","default","キイチロー","KIICHIRO","Kiichiro","0x3E232",
"String","0x3E241","0x3E243","default","ボン","BONN","Bonn","0x3E242",
"String","0x3E251","0x3E255","default","サブチン","SABUTIN","Sabutin","0x3E252",
"String","0x3E261","0x3E264","default","ヒルト","HIRTH","Hirth","0x3E262",
"String","0x3E271","0x3E274","default","ケンチ","KENTY","Kenty","0x3E272",
"String","0x3E281","0x3E285","default","パパゾウ","PAPAZO","Papazo","0x3E282",
"String","0x3E291","0x3E295","default","ハムスタ","HAMUSUTA","Hamusuta","0x3E292",
"String","0x3E2A1","0x3E2A6","default","フェアリス","FARIS","Faris","0x3E2A2",
"String","0x3E2B1","0x3E2B6","default","ニステール","NISTALE","Nistale","0x3E2B2",
"String","0x3E2C1","0x3E2C6","default","ケイキダー","KAIKIDDER","Kaikidder","0x3E2C2",
"String","0x3E2D1","0x3E2D7","default","ナン=ヤマト","NAN YAMATO","Nan Yamato","0x3E2D2",
"String","0x3E2E1","0x3E2E7","default","ブライアーム","BLEIARM","Bleiarm","0x3E2E2",
"String","0x3E2F1","0x3E2F5","default","ヨネサン","JONATHAN","Jonathan","0x3E2F2",
"String","0x3E301","0x3E306","default","リュンター","LEUNTOR","Leuntor","0x3E302",
"String","0x3E311","0x3E317","default","オギアッシー","OGIAXY","Ogiaxy","0x3E312",
"String","0x3E321","0x3E327","default","サー=サキン","SIR SAQUIN","Sir Saquin","0x3E322",
"String","0x3E331","0x3E337","default","タテカンタツ","TATEKANTAZ","Tatekantaz","0x3E332",
"String","0x3E341","0x3E347","default","サージ・ブー","SERGE BOU","Serge Bou","0x3E342",
"String","0x3E351","0x3E356","default","アルジュナ","ARJUNA","Arjuna","0x3E352",
"String","0x3E361","0x3E366","default","ラルフォン","RALPHON","Ralphon","0x3E362",
"String","0x3E371","0x3E376","default","フュージー","FUSIE","Fusie","0x3E372",
"String","0x3E381","0x3E387","default","エル=フォス","ELL PHOS","Ell Phos","0x3E382",
"String","0x3E391","0x3E394","default","ヨーマ","YOMA","Yoma","0x3E392",
"String","0x3E3A1","0x3E3A6","default","フェザーン","FEZZAN","Fezzan","0x3E3A2",
"String","0x3E3B1","0x3E3B5","default","イェード","GERD","Gerd","0x3E3B2",
"String","0x3E3C1","0x3E3C7","default","ナイアラート","NYARLAT","Nyarlat","0x3E3C2",
"String","0x3E3D1","0x3E3D5","default","アレック","ALEC","Alec","0x3E3D2",
"String","0x3E3E1","0x3E3E5","default","ライカス","RYCUS","Rycus","0x3E3E2",
"String","0x3E3F1","0x3E3F5","default","アゾート","AZOTH","Azoth","0x3E3F2",
"String","0x3E401","0x3E407","default","ミーア=マス","MEER MASS","Meer Mass","0x3E402",
"String","0x3E411","0x3E416","default","フラウォン","FRAWON","Frawon","0x3E412",
"String","0x3E421","0x3E427","default","キュベリオス","CYBELIOS","Cybelios","0x3E422",
"String","0x3E431","0x3E434","default","ランツ","LANTZ","Lantz","0x3E432",
"String","0x3E441","0x3E446","default","ギルバード","GILBERT","Gilbert","0x3E442",
"String","0x3E451","0x3E456","default","カイザード","KAIZAD","Kaizad","0x3E452",
"String","0x3E461","0x3E466","default","レイモンド","RAYMOND","Raymond","0x3E462",
,,,,"//=================================================",,,,
,,,,"// Hero names (2 lines, 6 chars per line)",,,,
,,,,"//=================================================",,,,
,,,,,,,,
"String","0x3E060","0x3E067","default","レンヘーゲン","[up]RENHA-[br]  GEN","Renhagen",,"Renhagen"
"String","0x3E070","0x3E076","default","バレンチン","[up]VALEN-[br]  TIN","Valentin",,"Valentin"
"String","0x3E080","0x3E087","default","ファラウィン","FALAWYN","Falawyn",,"Falawyn"
"String","0x3E090","0x3E097","default","シュタイナー","STEINER","Steiner",,"Steiner"
"String","0x3E0A0","0x3E0A6","default","アリーシャ","ALISHA","Alisha",,"Alisha"
"String","0x3E0B0","0x3E0B5","default","ガジール","GAZIEL","Gaziel",,"Gaziel"
"String","0x3E0C0","0x3E0C7","default","インディーナ","INDINA","Indina",,"Indina"
"String","0x3E0D0","0x3E0D6","default","イスタリス","[up]ISTA-[br]  LICE","Istalice",,"Istalice"
"String","0x3E0E0","0x3E0E6","default","ライザール","RYZAL","Ryzal",,"Ryzal"
"String","0x3E0F0","0x3E0F5","default","カターユ","CATALLE","Catalle",,"Catalle"
"String","0x3E100","0x3E105","default","イクスド","EXUD","Exud",,"Exud"
"String","0x3E110","0x3E116","default","アルディス","ARDYTH","Ardyth",,"Ardyth"
"String","0x3E120","0x3E125","default","タケチヨ","[up]TAKE-[br] CHIYO","Takechiyo",,"Takechiyo"
"String","0x3E130","0x3E135","default","ヤマザー","[up]LLAMA-[br]  SAR","Llamasar",,"Llamasar"
"String","0x3E140","0x3E146","default","ボボタック","VOVOTAK","Vovotak",,"Vovotak"
"String","0x3E150","0x3E156","default","ファンブル","PHAMBLE","Phamble",,"Phamble"
"String","0x3E160","0x3E166","default","アラムート","ALAMUT","Alamut",,"Alamut"
"String","0x3E170","0x3E177","default","エルテメイト","[up]ELTE-[br]  MATE","Eltemate",,"Eltemate"
"String","0x3E180","0x3E185","default","モヘップ","MOHEP","Mohep",,"Mohep"
"String","0x3E190","0x3E194","default","レント","LENT","Lent",,"Lent"
"String","0x3E1A0","0x3E1A5","default","ニードル","NEIDLE","Neidle",,"Neidle"
