cmd,addr,end,rendercmd,jp,en
,,,"//================================================="

String,0x14A6E,0x14A86,default,"なまえ    [LP]  エリア  パワー  まほう",
String,0x14A86,0x14A89,default,"なし",
,,,"//================================================="
,,,"// Spell types"
,,,"//================================================="

String,0x1E9D8,0x1E9E1,default,"ALL HEAL",
String,0x1E9E0,0x1E9E9,default,"MAGIC UP",
String,0x1E9E8,0x1E9F1,default,"REGENERT",
String,0x1E9F0,0x1E9F9,default,"RES FIRE",
String,0x1E9F8,0x1EA01,default,"FLY     ",
String,0x1EA00,0x1EA09,default,"HEAL    ",
String,0x1EA08,0x1EA11,default,"BLESS   ",
String,0x1EA10,0x1EA19,default,"SKILL UP",
String,0x1EA18,0x1EA21,default,"ARMOR UP",
String,0x1EA20,0x1EA29,default,"POWER UP",
,,,"//================================================="
,,,"// Conjoining text for requests from other rulers."
,,,"// Format: "[name] ga [##] turn no [request text]""
,,,"//================================================="

String,0x1082E,0x10830,default,"が",
String,0x10830,0x10835,default,"ターンの",
,,,"//================================================="
,,,"// Ruler names"
,,,"//================================================="

String,0x27000,0x27004,default,"ジーク",
String,0x2700A,0x27010,default,"バストラル",
String,0x27014,0x2701A,default,"シェルファ",
String,0x2701E,0x27024,default,"エル=モア",
String,0x27028,0x2702D,default,"ガイラム",
String,0x27032,0x27039,default,"ベルフレイム",
String,0x2703C,0x27041,default,"クリムト",
String,0x27046,0x2704B,default,"バルマー",
String,0x27050,0x27057,default,"エル=ウィン",
,,,"//================================================="
,,,"// Names?"
,,,"//================================================="

String,0x3E060,0x3E067,default,"レンヘーゲン",
String,0x3E070,0x3E076,default,"バレンチン",
String,0x3E080,0x3E087,default,"ファラウィン",
String,0x3E090,0x3E097,default,"シュタイナー",
String,0x3E0A0,0x3E0A6,default,"アリーシャ",
String,0x3E0B0,0x3E0B5,default,"ガジール",
String,0x3E0C0,0x3E0C7,default,"インディーナ",
String,0x3E0D0,0x3E0D6,default,"イスタリス",
String,0x3E0E0,0x3E0E6,default,"ライザール",
String,0x3E0F0,0x3E0F5,default,"カターユ",
String,0x3E100,0x3E105,default,"イクスド",
String,0x3E110,0x3E116,default,"アルディス",
String,0x3E120,0x3E125,default,"タケチヨ",
String,0x3E130,0x3E135,default,"ヤマザー",
String,0x3E140,0x3E146,default,"ボボタック",
String,0x3E150,0x3E156,default,"ファンブル",
String,0x3E160,0x3E166,default,"アラムート",
String,0x3E170,0x3E177,default,"エルテメイト",
String,0x3E180,0x3E185,default,"モヘップ",
String,0x3E190,0x3E194,default,"レント",
String,0x3E1A0,0x3E1A5,default,"ニードル",
String,0x3E1B0,0x3E1B6,default,"ハナリリム",
String,0x3E1C0,0x3E1C4,default,"チスケ",
String,0x3E1D0,0x3E1D5,default,"イギナベ",
String,0x3E1E0,0x3E1E7,default,"ムーミンクラ",
String,0x3E1F0,0x3E1F5,default,"ダイアナ",
String,0x3E200,0x3E206,default,"イースリー",
String,0x3E210,0x3E217,default,"ハインリッヒ",
String,0x3E220,0x3E225,default,"リューク",
String,0x3E230,0x3E236,default,"キイチロー",
String,0x3E240,0x3E243,default,"ボン",
String,0x3E250,0x3E255,default,"サブチン",
String,0x3E260,0x3E264,default,"ヒルト",
String,0x3E270,0x3E274,default,"ケンチ",
String,0x3E280,0x3E285,default,"パパゾウ",
String,0x3E290,0x3E295,default,"ハムスタ",
String,0x3E2A0,0x3E2A6,default,"フェアリス",
String,0x3E2B0,0x3E2B6,default,"ニステール",
String,0x3E2C0,0x3E2C6,default,"ケイキダー",
String,0x3E2D0,0x3E2D7,default,"ナン=ヤマト",
String,0x3E2E0,0x3E2E7,default,"ブライアーム",
String,0x3E2F0,0x3E2F5,default,"ヨネサン",
String,0x3E300,0x3E306,default,"リュンター",
String,0x3E310,0x3E317,default,"オギアッシー",
String,0x3E320,0x3E327,default,"サー=サキン",
String,0x3E330,0x3E337,default,"タテカンタツ",
String,0x3E340,0x3E347,default,"サージ・ブー",
String,0x3E350,0x3E356,default,"アルジュナ",
String,0x3E360,0x3E366,default,"ラルフォン",
String,0x3E370,0x3E376,default,"フュージー",
String,0x3E380,0x3E387,default,"エル=フォス",
String,0x3E390,0x3E394,default,"ヨーマ",
String,0x3E3A0,0x3E3A6,default,"フェザーン",
String,0x3E3B0,0x3E3B5,default,"イェード",
String,0x3E3C0,0x3E3C7,default,"ナイアラート",
String,0x3E3D0,0x3E3D5,default,"アレック",
String,0x3E3E0,0x3E3E5,default,"ライカス",
String,0x3E3F0,0x3E3F5,default,"アゾート",
String,0x3E400,0x3E407,default,"ミーア=マス",
String,0x3E410,0x3E416,default,"フラウォン",
String,0x3E420,0x3E427,default,"キュベリオス",
String,0x3E430,0x3E434,default,"ランツ",
String,0x3E440,0x3E446,default,"ギルバード",
String,0x3E450,0x3E456,default,"カイザード",
String,0x3E460,0x3E466,default,"レイモンド",
,,,"//================================================="
,,,"// Battle: spell list"
,,,"//================================================="

String,0x222FB,0x22307,default," ふつうのこうげき  ",
String,0x22307,0x22313,default," パワーアップ---1",
String,0x22313,0x2231F,default," よろいをまとう--1",
String,0x2231F,0x2232B,default," かいふくする---1",
String,0x2232B,0x22337,default," バリアをはる/0-1",
String,0x22337,0x22343,default," スピードアップ--1",
String,0x22343,0x2234F,default," かえんぼうぎょ--1",
String,0x2234F,0x2235B,default," むてきになる---1",
String,0x2235C,0x22368,default,"*まほうのこうげき-1",
,,,"//================================================="
,,,"// Unit names"
,,,"//================================================="

String,0x2D0B6,0x2D0BC,default,"ちゅうりつ",
String,0x2D0BC,0x2D0C0,default,"ジーク",
String,0x2D0C0,0x2D0C6,default,"バストラル",
String,0x2D0C6,0x2D0CC,default,"シェルファ",
String,0x2D0CC,0x2D0D2,default,"エル=モア",
String,0x2D0D2,0x2D0D7,default,"ガイラム",
String,0x2D0D7,0x2D0DE,default,"ベルフレイム",
String,0x2D0DE,0x2D0E3,default,"クリムト",
String,0x2D0E3,0x2D0E8,default,"バルマー",
String,0x2D0E8,0x2D0EF,default,"エル=ウィン",
String,0x2D0EF,0x2D0F3,default,"せんし",
String,0x2D0F3,0x2D0F6,default,"きし",
String,0x2D0F6,0x2D0FB,default,"くろきし",
String,0x2D0FB,0x2D101,default,"せいせんし",
String,0x2D101,0x2D108,default,"バーバリアン",
String,0x2D108,0x2D10F,default,"バーサーカー",
String,0x2D10F,0x2D116,default,"まほうつかい",
String,0x2D116,0x2D11B,default,"まどうし",
String,0x2D11B,0x2D121,default,"まじゅつし",
String,0x2D121,0x2D125,default,"エルフ",
String,0x2D125,0x2D12C,default,"エルフロード",
String,0x2D12C,0x2D131,default,"ゴブリン",
String,0x2D131,0x2D138,default,"ミノタウルス",
String,0x2D138,0x2D13F,default,"ジャイアント",
String,0x2D13F,0x2D146,default,"リザードマン",
String,0x2D146,0x2D14C,default,"バシリスク",
String,0x2D14C,0x2D151,default,"ドラゴン",
String,0x2D151,0x2D156,default,"こあくま",
String,0x2D156,0x2D15C,default,"おおあくま",
String,0x2D15C,0x2D163,default,"デビルロード",
String,0x2D163,0x2D16A,default,"ケンタウルス",
String,0x2D16A,0x2D170,default,"ユニコーン",
String,0x2D170,0x2D177,default,"マンティコア",
String,0x2D177,0x2D17D,default,"サーペント",
String,0x2D17D,0x2D184,default,"スフインクス",
String,0x2D184,0x2D18B,default,"フェニックス",
String,0x2D18B,0x2D191,default,"ガーゴイル",
String,0x2D191,0x2D196,default,"ゴーレム",
String,0x2D196,0x2D19A,default,"タロス",
String,0x2D19A,0x2D19E,default,"オーガ",
String,0x2D19E,0x2D1A3,default,"トロウル",
String,0x2D1A3,0x2D1A9,default,"ワイバーン",
String,0x2D1A9,0x2D1AE,default,"ヒュドラ",
String,0x2D1AE,0x2D1B4,default,"グリフォン",
String,0x2D1B4,0x2D1BB,default,"サイクロプス",
String,0x2D1BB,0x2D1C2,default,"ヘルハウンド",
String,0x2D1C2,0x2D1C9,default,"サラマンダー",
String,0x2D1C9,0x2D1CE,default,"キマイラ",
String,0x2D1CE,0x2D1D4,default,"スケルトン",
String,0x2D1D4,0x2D1D9,default,"ゾンビー",
String,0x2D1D9,0x2D1DD,default,"マミー",
String,0x2D1DD,0x2D1E3,default,"バンパイア",
String,0x2D1E3,0x2D1E8,default,"リッチー",
String,0x2D1E8,0x2D1EC,default,"ロック",
String,0x2D1EC,0x2D1F3,default,"ガーディアン",
String,0x2D1F3,0x2D1FA,default,"だいちのせい",
String,0x2D1FA,0x2D200,default,"みずのせい",
String,0x2D200,0x2D207,default,"ほのおのせい",
String,0x2D207,0x2D20D,default,"かぜのせい",
,,,"//================================================="
,,,"// short location names"
,,,"//================================================="

String,0x2CDB3,0x2CDB9,default,"ローランド",
String,0x2CDC2,0x2CDC9,default,"ナースホルン",
String,0x2CDD2,0x2CDD7,default,"バッハム",
String,0x2CDE0,0x2CDE5,default,"レプラス",
String,0x2CDF0,0x2CDF6,default,"ムルバース",
String,0x2CE00,0x2CE06,default,"グライナス",
String,0x2CE10,0x2CE17,default,"カルミスタN",
String,0x2CE23,0x2CE29,default,"テスカイア",
String,0x2CE34,0x2CE3B,default,"イジフミガト",
String,0x2CE43,0x2CE47,default,"ガザN",
String,0x2CE52,0x2CE58,default,"ドラグーン",
String,0x2CE61,0x2CE68,default,"パランニール",
String,0x2CE70,0x2CE76,default,"ザクハルト",
String,0x2CE84,0x2CE8B,default,"カルミスタS",
String,0x2CE96,0x2CE9A,default,"ガザS",
String,0x2CEA4,0x2CEAB,default,"ウンバールN",
String,0x2CEB4,0x2CEBB,default,"セレブラスN",
String,0x2CEC4,0x2CECA,default,"モルガルド",
String,0x2CED4,0x2CEDA,default,"クロエルン",
String,0x2CEE5,0x2CEE9,default,"ウルハ",
String,0x2CEF5,0x2CEFC,default,"ウンバールS",
String,0x2CF06,0x2CF0D,default,"セレブラスS",
String,0x2CF18,0x2CF1F,default,"グラファスW",
String,0x2CF2A,0x2CF31,default,"グラファスE",
String,0x2CF3D,0x2CF43,default,"ファミール",
String,0x2CF4F,0x2CF54,default,"カツーオ",
String,0x2CF5F,0x2CF65,default,"シヤバカナ",
String,0x2CF6F,0x2CF76,default,"バッシュラー",
String,0x2CF82,0x2CF87,default,"ニタラク",
String,0x2CF93,0x2CF99,default,"トスカニア",
String,0x2CFA5,0x2CFAB,default,"モルソルン",
String,0x2CFB6,0x2CFBB,default,"ワーグズ",
String,0x2CFC2,0x2CFC9,default,"シュミシュミ",
String,0x2CFD1,0x2CFD7,default,"マステンス",
String,0x2CFE2,0x2CFE7,default,"ジャグN",
String,0x2CFF1,0x2CFF6,default,"ジャグS",
String,0x2CFFF,0x2D005,default,"ギルフレイ",
String,0x2D011,0x2D017,default,"シュワルベ",
String,0x2D022,0x2D029,default,"ビスティッツ",
String,0x2D031,0x2D037,default,"ロンバニオ",
,,,"//================================================="
,,,"// Advisor message intros?"
,,,"//================================================="

String,0x37D0,0x37DA,default,"レイモンドはいう。",
String,0x37DA,0x37E3,default,"ディーンはいう。",
String,0x37E3,0x37E9,default,"ぜんぶたい",
String,0x37E9,0x37F3,default,"だれもおらんぞ!。",
,,,"//================================================="
,,,"// Commentary messages from advisors?"
,,,"//================================================="

String,0x12A23,0x12A33,default,"かばうらぎってはなりませんぞ!",
String,0x12A33,0x12A3F,default,"うらぎりもやもえまい。",
String,0x12A3F,0x12A4E,default,"てきがいないから、らくだな。",
String,0x12A4E,0x12A5A,default,"らくにかてるでしょう。",
String,0x12A5A,0x12A65,default,"がんばってくだされ。",
String,0x12A65,0x12A72,default,"なかなかてごわいですぞ。",
String,0x12A72,0x12A7D,default,"やめたほうがいいぞ!",
String,0x12A7D,0x12A8F,default,"ほう、このぶたいをしょぶんですか?",
String,0x12A8F,0x12AA2,default,"やめい! しににいくようなものだ!!",
String,0x12AA2,0x12AB8,default,"ばかもーん! ぜったいにいかせはせんぞ!!",
String,0x12AB8,0x12AC2,default,"ぜひ、きしゅうを。",
String,0x12AC2,0x12ACC,default,"ぜひ、ばくれつを。",
String,0x12ACC,0x12AE1,default,"だが、なにか、おそろしいよかんが・・・。",
,,,"//================================================="
,,,"// more advice"
,,,"//================================================="
,,,"//"
String,0x1680A,0x1681A,default,"とくにめだったエリアはないな。",
String,0x1681A,0x16824,default,"だれもおらんぞ!。",
String,0x16824,0x16834,default,"とくにひつようないとおもうが。",
String,0x16834,0x16838,default,"あと、",
String,0x16838,0x16840,default,"このエリアでは",
String,0x16840,0x16846,default,"わたしなら",
String,0x16846,0x1684E,default,"やすませよう。",
String,0x1684E,0x1685C,default,"くんれんはさいごにしよう。",
String,0x1685C,0x1686E,default,"くんれんはじどうになっていますぞ。",
String,0x1686E,0x16878,default,"ここにはえいゆうが",
String,0x16878,0x16880,default,"いませんぞ!。",
String,0x16880,0x16888,default,"ひとりいるぞ。",
String,0x16888,0x16890,default,"ふたりいるぞ。",
String,0x16890,0x16898,default,"3にんいるぞ。",
String,0x16898,0x168A4,default,"4にんいじょういるぞ。",
String,0x168A4,0x168A7,default,"に、",
String,0x168A7,0x168B1,default,"しゅうにんですな。",
String,0x168B1,0x168B7,default,"はクビだ。",
String,0x168B7,0x168C2,default,"えいゆうがいないぞ。",
String,0x168C2,0x168CA,default,"がてごわいな。",
String,0x168CA,0x168D1,default,"がてうすだ。",
String,0x168D1,0x168DA,default,"がガラあきだぞ。",
String,0x168DA,0x168E2,default,"すべてのエリア",
String,0x168E2,0x168EF,default,"まわりにてきはいないぞ。",
String,0x168EF,0x168FF,default,"となりにてきがいますが・・・・",
String,0x168FF,0x1690B,default,"テレポートをつかって、",
String,0x1690B,0x16915,default,"へむかいましょう。",
String,0x16915,0x16924,default,"しんこうするエリアがない!。",
String,0x16924,0x16934,default,"せめるよゆうがありませんぞ!。",
String,0x16934,0x1693D,default,"へせめこもう!。",
String,0x1693D,0x16945,default,"がやとえるな。",
String,0x16945,0x1694E,default,"もうやとえない。",
String,0x1694E,0x16957,default,"をやといますが。",
String,0x16957,0x16960,default,"やといませんが。",
String,0x16960,0x16968,default,"このちけいだと",
String,0x16968,0x16971,default,"がよびだせます。",
String,0x16971,0x1697B,default,"をよびだしたいな。",
String,0x1697B,0x16982,default,"やらないが。",
String,0x16982,0x1698D,default,"でしょうかんするが。",
String,0x1698D,0x1699A,default,"にぶたいをはけんするが。",
String,0x1699A,0x169A4,default,"にいどうさせるが。",
String,0x169A4,0x169AB,default,"やらないで、",
String,0x169AB,0x169C9,default,"さいこうどうをつかえば、すべてのぶたいがこうどうできます。",
String,0x169C9,0x169E3,default,"せんりがんをつかえば、すべてのエリアがみれますぞ。",
String,0x169E3,0x169F2,default,"にガーディアンをよびだそう。",
String,0x169F2,0x16A01,default,"でぶたいをしょうかんしよう。",
String,0x16A01,0x16A10,default,"こうげきまえにはきしゅうを。",
String,0x16A10,0x16A26,default,"こうげきまえにばくれつこうげきをしかけよ。",
String,0x16A26,0x16A2F,default,"にテレポートだ。",
String,0x16A2F,0x16A39,default,"をこうかんしよう。",
String,0x16A39,0x16A3C,default,"ここ",
,,,"//================================================="
,,,"// even more advice"
,,,"//================================================="
,,,"//"
String,0xFCE2,0xFCED,default,"とくにありませんな。",
String,0xFCED,0xFCF1,default,"まず、",
String,0xFCF1,0xFCFB,default,"きょうりょくして、",
String,0xFCFB,0xFD02,default,"をせめよう。",
String,0xFD02,0xFD08,default,"とうぜん、",
String,0xFD08,0xFD15,default,"のどうめいをわすれずに。",
String,0xFD15,0xFD19,default,"また、",
String,0xFD19,0xFD2B,default,"のどうめいきかんをのばしたほうが。",
String,0xFD2B,0xFD2F,default,"あと、",
String,0xFD2F,0xFD35,default,"きけんだ。",
String,0xFD35,0xFD40,default,"におおあらしですな。",
String,0xFD40,0xFD4A,default,"をじゅばくしよう。",
String,0xFD4A,0xFD52,default,"をれいぞくだ。",
String,0xFD52,0xFD5D,default,"にすいしょうだまを。",
String,0xFD5D,0xFD6E,default,"かいふくしたほうがよろしいかと。",
String,0xFD6E,0xFD7C,default,"のえいゆうをあんさつせよ。",
String,0xFD7C,0xFD8A,default,"のえいゆうをりはんさせよ。",
String,0xFD8A,0xFD99,default,"に、はんらんをしかけようぜ。",
String,0xFD99,0xFDA7,default,"さくりゃくがありませんぞ。",
String,0xFDA7,0xFDBD,default,"イベントフェイズがじっこうされてませんぞ。",
String,0xFDBD,0xFDCC,default,"にぬすっとをおくりましょう。",
String,0xFDCC,0xFDDC,default,"にようせいをしのびこませよう。",
,,,"//================================================="
,,,"// Dialogue for something (cutscene, ending?)."
,,,"// Probably related to Jeek's scenario, since that"
,,,"// one seems to involve Raymond."
,,,"// see code at C298"
,,,"//================================================="

,,,"//========="
,,,"// section"
,,,"//========="

String,0x3E48F,0x3E4B3,default," ジークとバストラルとの、はけんをかけた、さいごのたたかいがはじまる。",
String,0x3E4B3,0x3E4D8,default," おおぜいのぐんたいのなか、たたかいはふたりのいっきうちできまろうとして",
String,0x3E4D8,0x3E4DC,default,"いた。",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3E4DE,0x3E500,default,"「どうやら、いきのこったのは、おれたちだけのようだな。わかぞうよ」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3E501,0x3E526,default,"「きしどうのならわしに、きでんがれいをもってくれたことにかんしゃする。バ",
String,0x3E526,0x3E52D,default,"ストラルよ」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3E52E,0x3E553,default,"「なぁに、おれはこのでんせつのバトルアックス'ウィンドバーグ'をてにして",
String,0x3E553,0x3E578,default,"から、いちども、いっきうちでまけたことがないんでな。このたたかいでも、お",
String,0x3E578,0x3E57F,default,"なじことよ。",
String,0x3E57F,0x3E59D,default," ディーンよ、おれのたたかいをみてるがよい。みんなもだ!」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3E59F,0x3E5A8,default,"「・・・・・・」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3E5AA,0x3E5B3,default,"「いざ、まいる」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3E5B6,0x3E5DB,default," ふたりのたたかいはごぶとごぶであった。しかし、ときがたつにつれて、ジー",
String,0x3E5DB,0x3E600,default,"クがゆうせいになってきた。バストラルはあせった。いままで、むてきをほこっ",
String,0x3E600,0x3E619,default,"たバトルアックスがジークのけんにはきかないのだ。",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3E61B,0x3E636,default,"「ディーンよ。わがおとうとよ、おれをたすけてくれ!」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3E638,0x3E641,default,"「・・・・・・」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3E643,0x3E64D,default,"「ディーンよ!!」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3E64E,0x3E673,default," ディーンはうごかない。しかし、しずかにまほうのスペルをとなえはじめた。",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3E674,0x3E699,default,"「そうだ、ディーンよ。このこぞうをおまえのまりょくで、ほうむってしまえ!",
String,0x3E699,0x3E6A2,default,"はっはっはっ!」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3E6A4,0x3E6C9,default,"「きさま、このいっきうちをけがそうというのか、バストラル。きたないぞ!」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3E6CA,0x3E6DA,default,"「こぞう、まだまだあおいのぉ。",
String,0x3E6DA,0x3E6FF,default," たたかいとは、かったものがせいぎよ。ディーン、こいつにとどめをさせ!」",
,,,"//========="
,,,"// section"
,,,"//========="

String,0x3E702,0x3E727,default," これをみて、ジークのぐんぜいは、いかりをあらわにし、みまもるのをやめ、",
